customerID,Churn_Probability,Key_Risk_Factor
7216-EWTRS,99.36,No OnlineSecurity
5419-JPRRN,99.22,No OnlineSecurity
0107-YHINA,98.97,No OnlineSecurity
2012-NWRPA,98.85,No OnlineSecurity
1374-DMZUI,98.71,No OnlineSecurity
5419-CONWX,98.68,No OnlineSecurity
9885-CSMWE,98.56,No OnlineSecurity
2612-RANWT,98.53,No OnlineSecurity
7295-JOMMD,98.45,No OnlineSecurity
4910-GMJOT,98.43,No OnlineSecurity
5178-LMXOP,98.42,No OnlineSecurity
9223-UCPVT,98.4,No OnlineSecurity
1571-SAVHK,98.39,No OnlineSecurity
6567-HOOPW,98.38,No OnlineSecurity
8580-AECUZ,98.28,No OnlineSecurity
0295-PPHDO,98.28,No OnlineSecurity
6688-UZPWD,98.24,No OnlineSecurity
2656-TABEH,98.21,No OnlineSecurity
6702-OHFWR,98.19,No OnlineSecurity
4695-WJZUE,98.18,No OnlineSecurity
9497-QCMMS,98.16,No OnlineSecurity
8098-LLAZX,98.12,No OnlineSecurity
3006-XIMLN,98.07,No OnlineSecurity
8779-QRDMV,98.06,No OnlineSecurity
1069-XAIEM,98.04,No OnlineSecurity
1450-GALXR,98.02,No OnlineSecurity
2454-RPBRZ,98.01,No OnlineSecurity
4806-HIPDW,98.0,No OnlineSecurity
4826-XTSOH,98.0,No OnlineSecurity
1875-QIVME,97.91,No OnlineSecurity
4315-MURBD,97.86,Month-to-Month
5150-ITWWB,97.83,No OnlineSecurity
7526-BEZQB,97.81,No OnlineSecurity
2754-SDJRD,97.76,No OnlineSecurity
9019-QVLZD,97.75,No OnlineSecurity
9172-ANCRX,97.71,Month-to-Month
9300-AGZNL,97.64,No OnlineSecurity
9248-OJYKK,97.64,No OnlineSecurity
8058-INTPH,97.62,No OnlineSecurity
0897-FEGMU,97.55,No OnlineSecurity
3068-OMWZA,97.54,No OnlineSecurity
6861-XWTWQ,97.51,No OnlineSecurity
8945-GRKHX,97.5,No OnlineSecurity
2265-CYWIV,97.5,Month-to-Month
7089-IVVAZ,97.46,Month-to-Month
5393-RXQSZ,97.43,No OnlineSecurity
1400-MMYXY,97.42,No OnlineSecurity
8168-UQWWF,97.4,No OnlineSecurity
5960-WPXQM,97.39,No OnlineSecurity
8740-CRYFY,97.39,No OnlineSecurity
7594-RQHXR,97.38,No OnlineSecurity
2506-TNFCO,97.31,No OnlineSecurity
4501-EQDRN,97.3,No OnlineSecurity
2514-GINMM,97.29,No OnlineSecurity
1761-AEZZR,97.29,No OnlineSecurity
3217-FZDMN,97.27,No OnlineSecurity
4871-JTKJF,97.27,No OnlineSecurity
8375-DKEBR,97.27,No OnlineSecurity
2636-ALXXZ,97.27,No OnlineSecurity
6910-HADCM,97.14,No OnlineSecurity
7181-BQYBV,97.13,Month-to-Month
5293-WXJAK,97.12,No OnlineSecurity
5192-EBGOV,97.09,No OnlineSecurity
7206-GZCDC,97.05,No OnlineSecurity
6023-YEBUP,96.96,No OnlineSecurity
5919-TMRGD,96.94,No OnlineSecurity
2856-HYAPG,96.9,No OnlineSecurity
4110-PFEUZ,96.9,No OnlineSecurity
7665-TOALD,96.89,No OnlineSecurity
2868-MZAGQ,96.87,No OnlineSecurity
9290-SHCMB,96.83,No OnlineSecurity
5299-RULOA,96.74,Month-to-Month
5277-ZLOOR,96.66,No OnlineSecurity
9124-LHCJQ,96.65,No OnlineSecurity
0488-GSLFR,96.63,No OnlineSecurity
7660-HDPJV,96.63,No OnlineSecurity
9728-FTTVZ,96.63,No OnlineSecurity
2952-QAYZF,96.61,No OnlineSecurity
3097-NQYSN,96.55,No OnlineSecurity
6857-VWJDT,96.41,No OnlineSecurity
7908-QCBCA,96.4,No OnlineSecurity
0023-HGHWL,96.3,No OnlineSecurity
6894-LFHLY,96.29,No OnlineSecurity
3387-VATUS,96.24,No OnlineSecurity
4078-SAYYN,96.23,No OnlineSecurity
7450-NWRTR,96.21,No OnlineSecurity
9305-CDSKC,96.13,No OnlineSecurity
5186-SAMNZ,96.12,No OnlineSecurity
2777-PHDEI,96.03,No OnlineSecurity
9185-TQCVP,95.91,No OnlineSecurity
5561-NWEVX,95.91,No OnlineSecurity
1455-UGQVH,95.89,No OnlineSecurity
2180-DXNEG,95.88,No OnlineSecurity
4210-QFJMF,95.86,No OnlineSecurity
1768-ZAIFU,95.85,No OnlineSecurity
3871-IKPYH,95.85,No OnlineSecurity
6230-BSUXY,95.83,No OnlineSecurity
3389-YGYAI,95.83,No OnlineSecurity
6372-RFVNS,95.8,No OnlineSecurity
8149-RSOUN,95.78,No OnlineSecurity
4424-TKOPW,95.78,No OnlineSecurity
0679-IDSTG,95.68,No OnlineSecurity
0219-YTZUE,95.66,No OnlineSecurity
8603-IJWDN,95.55,No OnlineSecurity
2446-BEGGB,95.5,No OnlineSecurity
1564-NTYXF,95.49,No OnlineSecurity
0094-OIFMO,95.48,No OnlineSecurity
3677-IYRBF,95.45,No OnlineSecurity
1447-GIQMR,95.44,No OnlineSecurity
6108-OQZDQ,95.41,No OnlineSecurity
9057-SIHCH,95.33,No OnlineSecurity
4132-KALRO,95.33,No OnlineSecurity
3338-CVVEH,95.32,No OnlineSecurity
3198-VELRD,95.28,No OnlineSecurity
1086-LXKFY,95.26,No OnlineSecurity
5095-AESKG,95.25,No OnlineSecurity
9430-FRQOC,95.2,No OnlineSecurity
8062-YBDOE,95.14,No OnlineSecurity
8374-XGEJJ,95.06,No OnlineSecurity
6502-MJQAE,95.04,No OnlineSecurity
7254-IQWOZ,95.04,No OnlineSecurity
4550-EVXNY,95.0,No OnlineSecurity
0841-NULXI,94.98,No OnlineSecurity
3091-FYHKI,94.98,No OnlineSecurity
0655-RBDUG,94.96,No OnlineSecurity
3440-JPSCL,94.95,No OnlineSecurity
5564-NEMQO,94.95,No OnlineSecurity
0876-WDUUZ,94.94,No OnlineSecurity
5597-GLBUC,94.92,No OnlineSecurity
7851-WZEKY,94.87,No OnlineSecurity
5299-SJCZT,94.86,No OnlineSecurity
1304-NECVQ,94.74,No OnlineSecurity
0195-IESCP,94.73,No OnlineSecurity
3988-RQIXO,94.7,No OnlineSecurity
9763-PDTKK,94.7,Month-to-Month
2609-IAICY,94.69,No OnlineSecurity
2660-EMUBI,94.69,No OnlineSecurity
9102-IAYHT,94.67,No OnlineSecurity
5240-IJOQT,94.66,No OnlineSecurity
3716-BDVDB,94.64,No OnlineSecurity
6457-GIRWB,94.64,No OnlineSecurity
3428-XZMAZ,94.64,No OnlineSecurity
1820-TQVEV,94.64,No OnlineSecurity
0495-RVCBF,94.61,No OnlineSecurity
0196-VULGZ,94.6,No OnlineSecurity
3158-MOERK,94.59,No OnlineSecurity
5043-TRZWM,94.56,No OnlineSecurity
7576-OYWBN,94.56,No OnlineSecurity
7783-YKGDV,94.56,Month-to-Month
8258-GSTJK,94.54,No OnlineSecurity
3776-EKTKM,94.53,No OnlineSecurity
4988-IQIGL,94.53,No OnlineSecurity
5884-GCYMI,94.52,No OnlineSecurity
6350-XFYGW,94.5,No OnlineSecurity
0702-PGIBZ,94.47,No OnlineSecurity
4952-YSOGZ,94.39,No OnlineSecurity
6356-ELRKD,94.31,Month-to-Month
9507-EXLTT,94.29,No OnlineSecurity
0011-IGKFF,94.29,No OnlineSecurity
7024-OHCCK,94.23,No OnlineSecurity
2968-SSGAA,94.17,No OnlineSecurity
9381-NDKME,94.08,No OnlineSecurity
4236-XPXAV,93.78,No OnlineSecurity
0259-GBZSH,93.73,No OnlineSecurity
1273-MTETI,93.69,No OnlineSecurity
8884-ADFVN,93.68,No OnlineSecurity
8348-HFYIV,93.63,No OnlineSecurity
9444-JTXHZ,93.53,No OnlineSecurity
2545-EBUPK,93.52,No OnlineSecurity
6996-KNSML,93.49,No OnlineSecurity
5834-ASPWA,93.39,No OnlineSecurity
3049-NDXFL,93.35,No OnlineSecurity
9330-IJWIO,93.34,Month-to-Month
6432-TWQLB,93.34,No OnlineSecurity
2720-WGKHP,93.3,No OnlineSecurity
7273-TEFQD,93.28,No OnlineSecurity
1415-YFWLT,93.0,No OnlineSecurity
4548-SDBKE,93.0,No OnlineSecurity
9514-JDSKI,92.96,No OnlineSecurity
7932-WPTDS,92.93,No OnlineSecurity
3178-FESZO,92.93,No OnlineSecurity
3398-FSHON,92.88,No OnlineSecurity
6821-BUXUX,92.87,Month-to-Month
6521-YYTYI,92.85,No OnlineSecurity
5567-WSELE,92.85,No OnlineSecurity
1678-FYZOW,92.84,No OnlineSecurity
3138-BKYAV,92.82,No OnlineSecurity
7180-PISOG,92.8,No OnlineSecurity
7503-ZGUZJ,92.79,No OnlineSecurity
7234-FECYN,92.78,No OnlineSecurity
5480-HPRRX,92.71,No OnlineSecurity
1285-OKIPP,92.67,No OnlineSecurity
0013-EXCHZ,92.67,No OnlineSecurity
9907-SWKKF,92.66,No OnlineSecurity
5519-YLDGW,92.65,Month-to-Month
5835-BEQEU,92.63,No OnlineSecurity
5167-ZFFMM,92.63,No OnlineSecurity
2982-VPSGI,92.62,No OnlineSecurity
3902-FOIGH,92.59,No OnlineSecurity
4192-GORJT,92.58,No OnlineSecurity
4844-JJWUY,92.56,No OnlineSecurity
1496-GGSUK,92.54,No OnlineSecurity
0661-XEYAN,92.54,No OnlineSecurity
4228-ZGYUW,92.52,No OnlineSecurity
5797-APWZC,92.4,No OnlineSecurity
7294-TMAOP,92.4,No OnlineSecurity
6086-ESGRL,92.39,No OnlineSecurity
6960-HVYXR,92.37,No OnlineSecurity
2114-MGINA,92.36,No OnlineSecurity
5889-LFOLL,92.21,No OnlineSecurity
6599-RCLCJ,92.18,No OnlineSecurity
5655-JSMZM,92.13,No OnlineSecurity
6275-YDUVO,92.04,No OnlineSecurity
2024-BASKD,91.97,No OnlineSecurity
4030-VPZBD,91.9,No OnlineSecurity
4735-ASGMA,91.87,No OnlineSecurity
1740-CSDJP,91.84,No OnlineSecurity
6618-RYATB,91.84,No OnlineSecurity
5196-SGOAK,91.83,No OnlineSecurity
2642-DTVCO,91.72,No OnlineSecurity
9546-CQJSU,91.62,No OnlineSecurity
3643-AHCFP,91.6,No OnlineSecurity
5208-HFSBT,91.58,No OnlineSecurity
9600-NAXZN,91.54,No OnlineSecurity
6474-FVJLC,91.48,No OnlineSecurity
3374-LXDEV,91.44,No OnlineSecurity
3834-XUIFC,91.44,No OnlineSecurity
6496-SLWHQ,91.43,No OnlineSecurity
7780-OTDSO,91.43,Month-to-Month
2867-UIMSS,91.41,No OnlineSecurity
5159-YFPKQ,91.38,No OnlineSecurity
8372-JUXUI,91.37,No OnlineSecurity
4351-QLCSU,91.36,No OnlineSecurity
8992-JQYUN,91.33,No OnlineSecurity
1980-KXVPM,91.26,No OnlineSecurity
9436-ZBZCT,91.2,No OnlineSecurity
7056-IMHCC,91.14,No OnlineSecurity
3811-VBYBZ,91.12,No OnlineSecurity
7943-RQCHR,91.05,No OnlineSecurity
7890-VYYWG,91.03,No OnlineSecurity
4929-XIHVW,90.99,No OnlineSecurity
6338-AVWCY,90.97,No OnlineSecurity
5914-DVBWJ,90.93,No OnlineSecurity
5649-ANRML,90.85,No OnlineSecurity
9282-IZGQK,90.85,No OnlineSecurity
5868-YWPDW,90.84,No OnlineSecurity
8752-STIVR,90.83,No OnlineSecurity
1157-BQCUW,90.83,No OnlineSecurity
8775-LHDJH,90.69,No OnlineSecurity
3319-DWOEP,90.67,No OnlineSecurity
2516-VQRRV,90.62,No OnlineSecurity
0637-KVDLV,90.58,No OnlineSecurity
4822-RVYBB,90.55,No OnlineSecurity
2232-DMLXU,90.54,No OnlineSecurity
9681-OXGVC,90.54,No OnlineSecurity
7240-FQLHE,90.52,No OnlineSecurity
7142-HVGBG,90.51,No OnlineSecurity
1195-OIYEJ,90.43,No OnlineSecurity
6900-PXRMS,90.4,No OnlineSecurity
6358-LYNGM,90.4,No OnlineSecurity
6101-IMRMM,90.38,No OnlineSecurity
4713-LZDRV,90.37,No OnlineSecurity
9658-WYUFB,90.27,Month-to-Month
0697-ZMSWS,90.23,No OnlineSecurity
2636-OHFMN,90.19,No OnlineSecurity
4750-ZRXIU,90.04,No OnlineSecurity
1075-BGWOH,90.04,No OnlineSecurity
9940-RHLFB,90.01,No OnlineSecurity
0616-ATFGB,90.0,No OnlineSecurity
0895-DQHEW,89.98,No OnlineSecurity
7548-SEPYI,89.97,No OnlineSecurity
8245-UMPYT,89.96,No OnlineSecurity
3346-BRMIS,89.96,No OnlineSecurity
5565-FILXA,89.96,No OnlineSecurity
0235-KGSLC,89.93,No OnlineSecurity
4951-UKAAQ,89.88,No OnlineSecurity
9747-DDZOS,89.88,No OnlineSecurity
7493-TPUWZ,89.84,No OnlineSecurity
0406-BPDVR,89.81,No OnlineSecurity
5698-BQJOH,89.81,No OnlineSecurity
4102-OQUPX,89.77,No OnlineSecurity
3276-HDUEG,89.72,No OnlineSecurity
5380-AFSSK,89.69,No OnlineSecurity
6215-NQCPY,89.66,Month-to-Month
7240-ETPTR,89.65,No OnlineSecurity
4201-JMNGR,89.65,Month-to-Month
5357-TZHPP,89.54,No OnlineSecurity
4581-SSPWD,89.5,No OnlineSecurity
6467-CHFZW,89.47,No OnlineSecurity
2205-YMZZJ,89.45,No OnlineSecurity
2025-JKFWI,89.43,No OnlineSecurity
7779-LGOVN,89.42,No OnlineSecurity
3934-HXCFZ,89.4,Month-to-Month
8263-JQAIK,89.39,No OnlineSecurity
5378-IKEEG,89.37,No OnlineSecurity
2202-CUYXZ,89.34,No OnlineSecurity
9058-CBREO,89.33,No OnlineSecurity
0375-HVGXO,89.32,No OnlineSecurity
5519-NPHVG,89.25,No OnlineSecurity
0612-RTZZA,89.23,No OnlineSecurity
4598-XLKNJ,89.16,No OnlineSecurity
1334-FJSVR,89.09,No OnlineSecurity
1513-XNPPH,89.07,No OnlineSecurity
6328-ZPBGN,89.0,No OnlineSecurity
7568-PODML,88.97,No OnlineSecurity
9317-WZPGV,88.92,No OnlineSecurity
3551-HUAZH,88.92,No OnlineSecurity
9399-APLBT,88.91,No OnlineSecurity
0564-JJHGS,88.88,No OnlineSecurity
1724-IQWNM,88.87,Month-to-Month
1751-NCDLI,88.85,No OnlineSecurity
0495-ZBNGW,88.83,No OnlineSecurity
2027-FECZV,88.79,No OnlineSecurity
1143-NMNQJ,88.78,No OnlineSecurity
5275-SQEIZ,88.76,No OnlineSecurity
0880-TKATG,88.75,No OnlineSecurity
9828-AOQLM,88.7,No OnlineSecurity
3473-XIIIT,88.68,No OnlineSecurity
7198-GLXTC,88.68,No OnlineSecurity
9889-TMAHG,88.56,Month-to-Month
8058-JMEQO,88.56,No OnlineSecurity
0746-JTRFU,88.51,No OnlineSecurity
6110-OHIHY,88.49,No OnlineSecurity
2276-YDAVZ,88.48,No OnlineSecurity
2778-OCLGR,88.45,Month-to-Month
7903-CMPEY,88.42,Month-to-Month
0742-NXBGR,88.41,No OnlineSecurity
1112-CUNAO,88.39,No OnlineSecurity
8623-TMRBY,88.34,No OnlineSecurity
5364-XYIRR,88.33,No OnlineSecurity
5909-ECHUI,88.21,No OnlineSecurity
9221-OTIVJ,88.17,No OnlineSecurity
7595-EUIVN,88.15,No OnlineSecurity
1010-DIAUQ,88.07,No OnlineSecurity
6172-FECYY,88.02,No OnlineSecurity
8634-MPHTR,88.0,No OnlineSecurity
9787-XVQIU,88.0,No OnlineSecurity
3577-AMVUX,87.93,No OnlineSecurity
0723-DRCLG,87.88,No OnlineSecurity
3797-VTIDR,87.87,No OnlineSecurity
1866-RZZQS,87.86,No OnlineSecurity
2982-IHMFT,87.81,No OnlineSecurity
3992-YWPKO,87.8,No OnlineSecurity
5935-FCCNB,87.77,No OnlineSecurity
4902-OHLSK,87.77,No OnlineSecurity
8183-ONMXC,87.74,No OnlineSecurity
4248-QPAVC,87.7,Month-to-Month
6608-QQLVK,87.7,No OnlineSecurity
9300-RENDD,87.69,No OnlineSecurity
6956-SMUCM,87.65,Month-to-Month
4140-MUHUG,87.65,No OnlineSecurity
4667-OHGKG,87.63,Month-to-Month
8844-TONUD,87.61,No OnlineSecurity
6689-TCZHQ,87.6,No OnlineSecurity
4021-RQSNY,87.6,No OnlineSecurity
3672-YITQD,87.59,No OnlineSecurity
4143-OOBWZ,87.56,No OnlineSecurity
3106-ULWFW,87.56,No OnlineSecurity
8443-WVPSS,87.55,No OnlineSecurity
4184-TJFAN,87.53,Month-to-Month
2737-WFVYW,87.51,No OnlineSecurity
6559-ILWKJ,87.51,No OnlineSecurity
2865-TCHJW,87.49,No OnlineSecurity
0952-KMEEH,87.49,Month-to-Month
3765-JXVKY,87.49,No OnlineSecurity
8357-EQXFO,87.48,No OnlineSecurity
0207-MDKNV,87.45,Month-to-Month
5923-GXUOC,87.41,Month-to-Month
9837-BMCLM,87.37,No OnlineSecurity
5494-HECPR,87.27,No OnlineSecurity
6087-MVHJH,87.24,No OnlineSecurity
6416-TVAIH,87.22,No OnlineSecurity
5748-RNCJT,87.17,No OnlineSecurity
5644-PDMZC,87.16,No OnlineSecurity
2026-TGDHM,87.13,No OnlineSecurity
4587-VVTOX,87.12,No OnlineSecurity
8382-SHQEH,87.09,No OnlineSecurity
4176-FXYBO,87.07,Month-to-Month
8972-HJWNV,87.06,No OnlineSecurity
1723-HKXJQ,87.03,No OnlineSecurity
0781-LKXBR,87.03,No OnlineSecurity
1452-VOQCH,87.02,No OnlineSecurity
5134-IKDAY,87.02,No OnlineSecurity
6502-HCJTI,87.01,Month-to-Month
1084-UQCHV,87.0,No OnlineSecurity
3585-ISXZP,86.99,No OnlineSecurity
0680-DFNNY,86.97,No OnlineSecurity
9094-AZPHK,86.85,No OnlineSecurity
6402-ZFPPI,86.85,Month-to-Month
8593-WHYHV,86.84,No OnlineSecurity
2951-QOQTK,86.77,No OnlineSecurity
7274-RTAPZ,86.76,No OnlineSecurity
7854-FOKSF,86.68,No OnlineSecurity
8922-LIEGH,86.68,No OnlineSecurity
3259-FDWOY,86.65,No OnlineSecurity
7762-URZQH,86.65,N/A
8337-MSSXB,86.57,No OnlineSecurity
2362-IBOOY,86.56,No OnlineSecurity
4290-BSXUX,86.54,No OnlineSecurity
6210-KBBPI,86.49,No OnlineSecurity
2004-OCQXK,86.46,No OnlineSecurity
1569-TTNYJ,86.42,No OnlineSecurity
5138-WVKYJ,86.41,Month-to-Month
3518-PZXZQ,86.39,No OnlineSecurity
5550-VFRLC,86.38,No OnlineSecurity
8000-REIQB,86.38,No OnlineSecurity
7120-RFMVS,86.37,No OnlineSecurity
4415-IJZTP,86.35,No OnlineSecurity
0754-UKWQP,86.29,No OnlineSecurity
5673-TIYIB,86.29,No OnlineSecurity
3096-JRDSO,86.29,Month-to-Month
5130-IEKQT,86.27,No OnlineSecurity
3296-SILRA,86.26,No OnlineSecurity
3049-SOLAY,86.22,No OnlineSecurity
4631-OACRM,86.21,No OnlineSecurity
7638-QVMVY,86.19,No OnlineSecurity
8080-DDEMJ,86.17,No OnlineSecurity
8380-PEFPE,86.1,No OnlineSecurity
6060-DRTNL,86.1,No OnlineSecurity
7786-WBJYI,86.06,No OnlineSecurity
0623-IIHUG,86.03,Month-to-Month
4154-AQUGT,85.97,No OnlineSecurity
2919-HBCJO,85.9,No OnlineSecurity
3627-FHKBK,85.87,Month-to-Month
5380-WJKOV,85.87,No OnlineSecurity
1853-UDXBW,85.84,No OnlineSecurity
1409-PHXTF,85.82,No OnlineSecurity
1976-CFOCS,85.8,No OnlineSecurity
6683-VLCTZ,85.8,No OnlineSecurity
8642-GVWRF,85.79,No OnlineSecurity
1626-ERCMM,85.77,No OnlineSecurity
3714-NTNFO,85.65,No OnlineSecurity
8510-AWCXC,85.62,Month-to-Month
3801-HMYNL,85.61,No OnlineSecurity
8414-MYSHR,85.59,No OnlineSecurity
7613-LLQFO,85.59,No OnlineSecurity
3707-GNWHM,85.54,No OnlineSecurity
3874-EQOEP,85.54,No OnlineSecurity
6646-VRFOL,85.52,No OnlineSecurity
5054-IEXZT,85.48,No OnlineSecurity
0325-XBFAC,85.45,No OnlineSecurity
9851-QXEEQ,85.44,No OnlineSecurity
7248-VZQLC,85.43,No OnlineSecurity
2691-NZETQ,85.41,No OnlineSecurity
3384-CTMSF,85.41,No OnlineSecurity
4706-AXVKM,85.41,No OnlineSecurity
3621-CEOVK,85.35,No OnlineSecurity
2834-SPCJV,85.35,Month-to-Month
1731-TVIUK,85.35,No OnlineSecurity
3755-JBMNH,85.27,No OnlineSecurity
9231-ZJYAM,85.23,No OnlineSecurity
5673-FSSMF,85.22,No OnlineSecurity
7817-BOQPW,85.18,No OnlineSecurity
5318-IXUZF,85.16,No OnlineSecurity
4423-YLHDV,85.13,Month-to-Month
9079-YEXQJ,85.12,No OnlineSecurity
9874-QLCLH,85.1,Month-to-Month
8040-MNRTF,85.04,No OnlineSecurity
0151-ONTOV,85.04,No OnlineSecurity
0511-JTEOY,85.04,No OnlineSecurity
0519-XUZJU,85.04,No OnlineSecurity
1268-ASBGA,85.03,No OnlineSecurity
1981-INRFU,84.98,No OnlineSecurity
6457-USBER,84.97,No OnlineSecurity
4285-GYRQC,84.93,No OnlineSecurity
7005-CCBKV,84.91,No OnlineSecurity
5649-TJHOV,84.86,No OnlineSecurity
2135-DQWAQ,84.85,No OnlineSecurity
0306-JAELE,84.85,No OnlineSecurity
2462-XIIJB,84.85,No OnlineSecurity
3746-EUBYR,84.84,No OnlineSecurity
7314-OXENN,84.81,No OnlineSecurity
7153-OANIO,84.81,No OnlineSecurity
7641-EUYET,84.78,Month-to-Month
7693-LCKZL,84.68,No OnlineSecurity
1597-FZREH,84.67,No OnlineSecurity
8739-WWKDU,84.65,No OnlineSecurity
3891-PUQOD,84.59,No OnlineSecurity
0135-NMXAP,84.59,No OnlineSecurity
1309-BXVOQ,84.48,No OnlineSecurity
0329-GTIAJ,84.47,No OnlineSecurity
3806-DXQOM,84.41,Month-to-Month
6941-PMGEP,84.39,No OnlineSecurity
3066-RRJIO,84.38,No OnlineSecurity
8943-URTMR,84.37,No OnlineSecurity
1448-PWKYE,84.31,No OnlineSecurity
3757-NJYBX,84.29,No OnlineSecurity
8821-XNHVZ,84.27,No OnlineSecurity
1228-FZFRV,84.22,Month-to-Month
9947-OTFQU,84.2,No OnlineSecurity
8816-VXNZD,84.19,No OnlineSecurity
7598-UAASY,84.15,No OnlineSecurity
5583-SXDAG,84.12,No OnlineSecurity
3393-FMZPV,84.09,No OnlineSecurity
1624-NALOJ,84.07,No OnlineSecurity
5052-PNLOS,84.04,No OnlineSecurity
6583-QGCSI,84.03,No OnlineSecurity
8118-LSUEL,84.02,No OnlineSecurity
2845-AFFTX,83.97,No OnlineSecurity
4369-HTUIF,83.91,Month-to-Month
0302-JOIVN,83.9,No OnlineSecurity
8417-FMLZI,83.81,No OnlineSecurity
1455-ESIQH,83.8,No OnlineSecurity
0970-ETWGE,83.8,No OnlineSecurity
3027-ZTDHO,83.8,No OnlineSecurity
3722-WPXTK,83.8,No OnlineSecurity
7577-SWIFR,83.8,No OnlineSecurity
9965-YOKZB,83.76,No OnlineSecurity
3877-JRJIP,83.72,No OnlineSecurity
2568-OIADY,83.7,No OnlineSecurity
